field_name,x,y,objectid,area,perimeter,ballfields,ballfiel_1,id,polygonid,scale,angle,point_x,point_y,dpw_name,cityid,active
Chartiers Field 1,-80.0746177241371,40.4566389345113,83,0,0,83,83,29,0,0,0,1321688.80077177,417716.82885969,Chartiers #1,P301,Yes
Cowley Field 2,-79.989541867042,40.4585316905555,84,0,0,84,84,31,0,0,0,1345372.99716969,417794.42319268,Cowley  #2,P305,Yes
Chartiers Field 2,-80.0735130461091,40.4573430083235,85,0,0,85,85,0,0,0,0,1322002.84804395,417965.14529219, Name,P302,Yes
Sheraden Park 1,-80.0592545662164,40.4581177070165,86,0,0,86,86,100,0,0,0,1325976.62159245,418143.21022478,Sheraden  #1,P371,Yes
Fineview,-80.0044269948508,40.4596480762908,87,0,0,87,87,39,0,0,0,1341242.65306818,418306.36934727,Fineview,P312,Yes
Sheraden Park 2,-80.0612834940821,40.4595147171905,88,0,0,88,88,101,0,0,0,1325425.54231402,418666.73542444,Sheraden  #2,P372,Yes
East Liberty Park,-79.9187835084902,40.4623601894616,89,0,0,89,89,37,0,0,0,1365090.95314053,418697.33805352,East Liberty Park (OMEGA),,Yes
McGonigle,-80.0656292865503,40.4598287438356,90,0,0,90,90,73,0,0,0,1324219.67595936,418812.77154969,McGonigle,P346,Yes
Gardner,-79.9855733534266,40.4615902544038,91,0,0,91,91,49,0,0,0,1346505.15960352,418880.32489227,Gardner,,Yes
Dean,-79.9550454890056,40.4625465531519,92,0,0,92,92,14,0,0,0,1355005.73840286,419015.04968844,Officer Paul J. Sciullo II Memorial Field,P306,Yes
Sullivan,-79.9632027690411,40.4629259247141,93,0,0,93,93,106,0,0,0,1352740.13072936,419209.98466602,Sullivan,P377,Yes
Chadwick,-79.8913982731529,40.4650976983817,94,0,0,94,94,28,0,0,0,1372732.88700362,419508.38531594,Chadwick,P300,Yes
Scherer,-79.9986721891277,40.4635131565122,95,0,0,95,95,99,0,0,0,1342879.33811502,419673.14023577,Scherer,P370,Yes
Larimer,-79.9130289205881,40.4661305157368,96,0,0,96,96,0,0,0,0,1366725.34160402,420031.19070077, Name,P337,Yes
Arsenal Band Box,-79.9616883338245,40.4662819647342,97,0,0,97,97,9,0,0,0,1353192.00712219,420421.65284635,Bandbox,P281,Yes
Michael Flynn,-79.9854995173502,40.4659513479534,98,0,0,98,98,104,0,0,0,1346565.91145052,420468.04481393,Michael Flynn,P375,Yes
Paulson,-79.8997915170288,40.4683593876738,99,0,0,99,99,91,0,0,0,1370427.14883295,420753.00290544,Paulson,P363,Yes
Arsenal Middle,-79.9612401727488,40.4672054908306,100,0,0,100,100,10,0,0,0,1353325.08625236,420754.86641876,Middle,P282,Yes
Fort Pitt 1,-79.9424890415617,40.468993974485,101,0,0,101,101,40,0,0,0,1358556.82185186,421276.14523186,Fort Pitt  #1,P313,Yes
Fort Pitt 2,-79.9436704684955,40.4696573462233,102,0,0,102,102,0,0,0,0,1358234.22243144,421525.8996536, Name,P314,Yes
Fowler 2,-80.0110016614447,40.4696008440992,103,0,0,103,103,43,0,0,0,1339506.57681595,421977.74750319,Fowler  #2,P317,Yes
Spring Hill,-79.9927167531723,40.4699929910931,104,0,0,104,104,105,0,0,0,1344595.83435394,421990.85377619,Spring Hill,P376,Yes
Horace Mann,-80.0304815042654,40.4695565948269,105,0,0,105,105,60,0,0,0,1334088.21002802,422100.97494702,Horace Mann,P332,Yes
Fowler 1,-80.0107341382946,40.4703016566255,106,0,0,106,106,42,0,0,0,1339587.51858319,422231.06523801,Fowler  #1,P316,Yes
John McGrange 2,-79.9577667152865,40.4724099669993,107,0,0,107,107,66,0,0,0,1354338.60883161,422626.09266318,John McGrane  #2,P339,Yes
John McGrange 1,-79.9565477989087,40.4728106845422,108,0,0,108,108,65,0,0,0,1354681.26661086,422763.55433051,John McGrane  #1,P338,Yes
Rye-Molt,-80.0322036519856,40.4732547630558,109,0,0,109,109,121,0,0,0,1333644.04096887,423460.14808169,Rye-Molt,P393,Yes
Farm House,-79.9130403943178,40.4766301882865,110,0,0,110,110,57,0,0,0,1366815.82895586,423855.16369586,Farmhouse,P324,Yes
Heth's 1,-79.9280922916272,40.4770746196464,111,0,0,111,111,54,0,0,0,1362633.73758252,424119.93022668,Heth's  #1,P327,Yes
Heth's 2,-79.9271685483416,40.4778503315138,112,0,0,112,112,55,0,0,0,1362897.60385269,424396.10126227,Heth's  #2,P328,Yes
Heth's 3,-79.9274322686561,40.4781006391073,113,0,0,113,113,56,0,0,0,1362826.51016286,424489.06958027,Heth's  #3,P329,Yes
Sunnyside,-79.9331335835262,40.4822046334922,114,0,0,114,114,107,0,0,0,1361277.9122102,426022.85785127,Officer Eric G. Kelly Memorial Field,,Yes
Dinan,-79.9333176429689,40.4832022952794,115,0,0,115,115,33,0,0,0,1361235.71249144,426387.46243702,Dinan,,Yes
Joe Natoli 2,-79.925925600111,40.4835686721066,116,0,0,116,116,62,0,0,0,1363294.59682511,426470.14895144,Joe Natoli  #2,P334,Yes
Joe Natoli 3,-79.9263463114503,40.4839665562706,117,0,0,117,117,63,0,0,0,1363181.17677636,426617.93835402,Joe Natoli  #3,,Yes
Joe Natoli 1,-79.9256145293142,40.4844616260673,118,0,0,118,118,61,0,0,0,1363389.11304027,426793.22343652,Joe Natoli  #1,P333,Yes
Fifty-Seventh,-79.9465989438186,40.4861105540121,119,0,0,119,119,38,0,0,0,1357568.77920853,427538.22457118,Fifty-Seventh St    (ARCO),,Yes
Marmaduke Field,-80.0436012120354,40.48527899548,120,0,0,120,120,70,0,0,0,1330587.96768469,427921.25792585,Marmaduke,P343,Yes
Brighton Heights 5,-80.0307364038753,40.4856989629685,121,0,0,121,121,19,0,0,0,1334169.17312069,427981.53405201,#5 Brighton Hights,P292,Yes
Camelius Sangnini,-80.0300028331145,40.4862434281602,122,0,0,122,122,20,0,0,0,1334378.27309619,428174.54941402,#6 Camelius Sangnini,P293,Yes
Brighton Heights 4,-80.0312668806226,40.4867232598774,123,0,0,123,123,18,0,0,0,1334031.30495811,428358.37384953,#4 Brighton Hights,P291,Yes
John Merry,-80.0327944257788,40.4874187088513,124,0,0,124,124,17,0,0,0,1333613.10467902,428622.62102443,#3 John Merry,P390,Yes
Brighton Heights 2,-80.0325228146057,40.4884272834176,125,0,0,125,125,16,0,0,0,1333698.12353785,428987.97167169,#2 Brighton Hights,P289,Yes
Brighton Heights 1,-80.0334982323701,40.4886793357757,126,0,0,126,126,15,0,0,0,1333429.28024353,429086.77724835,#1 Brighton Hights,P288,Yes
Volunteers 4,-79.9943249222874,40.3974889598375,127,,,,,113,,,,,,Volunteers #4,,Yes
Volunteers 3,-79.9929729336769,40.3981912739104,128,,,,,112,,,,,,Volunteers #3,,Yes
Schenley 2,-79.9423389688046,40.4334655477132,129,,,,,97,,,,,,Schenley # 2,P369,Yes
Schenley  3,-79.9407738736257,40.4335995158983,130,,,,,98,,,,,,Schenley # 3,P368,Yes
